Drug Tier,Specialty,Plan Type,Allowed,Drug_name,Requirements_Limits
3,Not Specified,my blue,Yes,isoniazid tab 300 mg,Not Specified
5,Not Specified,my blue,Yes,PRETOMANID - pretomanid tab 200 mg,Quantity Limits (180 tablets/365 days)
5,Not Specified,my blue,Yes,PRIFTIN - rifapentine tab 150 mg,Not Specified
5,Not Specified,my blue,Yes,pyrazinamide tab 500 mg,Not Specified
5,Not Specified,my blue,Yes,rifabutin cap 150 mg (Mycobutin),Not Specified
5,Not Specified,my blue,Yes,"rifampin cap 150 mg, 300 mg",Not Specified
6,Speciality Drug,my blue,Yes,SIRTURO - bedaquiline fumarate tab 20 mg (base equiv),"Prior authorization, Limited distribution, Quantity Limits (940 tablets/365 days)"
6,Speciality Drug,my blue,Yes,SIRTURO - bedaquiline fumarate tab 100 mg (base equiv),"Prior authorization, Limited distribution, Quantity Limits (188 tablets/365 days)"
6,Not Specified,my blue,Yes,TRECATOR - ethionamide tab 250 mg,Prior authorization
6,Not Specified,my blue,Yes,CRESEMBA - isavuconazonium sulfate cap 186 mg (isavuconazole 100 mg),Prior authorization
3,Not Specified,my blue,Yes,"fluconazole for susp 10 mg/ml, 40 mg/ml (Diflucan)",Not Specified
3,Not Specified,my blue,Yes,"fluconazole tab 50 mg, 100 mg, 150 mg, 200 mg (Diflucan)",Not Specified
5,Not Specified,my blue,Yes,"flucytosine cap 250 mg, 500 mg (Ancobon)",Not Specified
5,Not Specified,my blue,Yes,griseofulvin microsize susp 125 mg/5ml,Not Specified
5,Not Specified,my blue,Yes,griseofulvin microsize tab 500 mg,Not Specified
5,Not Specified,my blue,Yes,"griseofulvin ultramicrosize tab 125 mg, 250 mg",Not Specified
5,Not Specified,my blue,Yes,itraconazole cap 100 mg (Sporanox),"Prior authorization, Quantity Limits (120 capsules/30 days)"
5,Not Specified,my blue,Yes,itraconazole oral soln 10 mg/ml (Sporanox),"Prior authorization, Quantity Limits (1200 mls/30 days)"
3,Not Specified,my blue,Yes,ketoconazole tab 200 mg,Not Specified
5,Not Specified,my blue,Yes,NOXAFIL - posaconazole for delayed release susp packet 300 mg,Prior authorization
5,Not Specified,my blue,Yes,nystatin tab 500000 unit,Not Specified
5,Not Specified,my blue,Yes,posaconazole susp 40 mg/ml (Noxafil),Prior authorization
5,Not Specified,my blue,Yes,posaconazole tab delayed release 100 mg (Noxafil),Prior authorization
3,Not Specified,my blue,Yes,terbinafine hcl tab 250 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,VIVJOA - oteseconazole cap therapy pack 150 mg (12 weeks),"Prior authorization, Quantity Limits (18 capsules/180 days)"
5,Not Specified,my blue,Yes,voriconazole for susp 40 mg/ml (Vfend),Prior authorization
5,Not Specified,my blue,Yes,"voriconazole tab 50 mg, 200 mg (Vfend)",Prior authorization
3,Not Specified,my blue,Yes,abacavir sulfate soln 20 mg/ml (base equiv) (Ziagen),Quantity Limits (960 mls/30 days)
3,Not Specified,my blue,Yes,abacavir sulfate tab 300 mg (base equiv) (Ziagen),Quantity Limits (60 tablets/30 days)
3,Not Specified,my blue,Yes,abacavir sulfate-lamivudine tab 600-300 mg (Epzicom),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,acyclovir cap 200 mg,Not Specified
5,Not Specified,my blue,Yes,acyclovir susp 200 mg/5ml (Zovirax),Not Specified
3,Not Specified,my blue,Yes,"acyclovir tab 400 mg, 800 mg",Not Specified
5,Not Specified,my blue,Yes,adefovir dipivoxil tab 10 mg (Hepsera),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,APTIVUS - tipranavir cap 250 mg,Quantity Limits (120 capsules/30 days)
3,Not Specified,my blue,Yes,"atazanavir sulfate cap 150 mg (base equiv), 300 mg (base equiv) (Reyataz)",Quantity Limits (30 capsules/30 days)
3,Not Specified,my blue,Yes,atazanavir sulfate cap 200 mg (base equiv) (Reyataz),Quantity Limits (60 capsules/30 days)
5,Not Specified,my blue,Yes,BARACLUDE - entecavir oral soln 0.05 mg/ml,Quantity Limits (630 mls/30 days)
5,Not Specified,my blue,Yes,"BIKTARVY - bictegravir-emtricitabine-tenofovir af tab 30-120-15 mg, 50-200-25 mg",Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,CIMDUO - lamivudine-tenofovir disoproxil fumarate tab 300-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,COMPLERA - emtricitabine-rilpivirine-tenofovir df tab 200-25-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,darunavir tab 600 mg (Prezista),Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,darunavir tab 800 mg (Prezista),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,DELSTRIGO - doravirine-lamivudine-tenofovir df tab 100-300-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,"DESCOVY - emtricitabine-tenofovir alafenamide fumarate tab 120-15 mg, 200-25 mg",Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,DOVATO - dolutegravir sodium-lamivudine tab 50-300 mg (base eq),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,EDURANT - rilpivirine hcl tab 25 mg (base equivalent),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,efavirenz tab 600 mg (Sustiva),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,efavirenz-emtricitabine-tenofovir df tab 600-200-300 mg (Atripla),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,efavirenz-lamivudine-tenofovir df tab 400-300-300 mg (Symfi lo),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,efavirenz-lamivudine-tenofovir df tab 600-300-300 mg (Symfi),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,emtricitabine caps 200 mg (Emtriva),Quantity Limits (30 capsules/30 days)
5,Not Specified,my blue,Yes,"emtricitabine-tenofovir disoproxil fumarate tab 100-150 mg, 133-200 mg, 167-250 mg (Truvada)",Quantity Limits (30 tablets/30 days)
1,Not Specified,my blue,Yes,emtricitabine-tenofovir disoproxil fumarate tab 200-300 mg (Truvada),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,EMTRIVA - emtricitabine caps 200 mg,Quantity Limits (30 capsules/30 days)
5,Not Specified,my blue,Yes,EMTRIVA - emtricitabine soln 10 mg/ml,Quantity Limits (680 mls/28 days)
5,Not Specified,my blue,Yes,"entecavir tab 0.5 mg, 1 mg (Baraclude)",Quantity Limits (30 tablets/30 days)
6,Speciality Drug,my blue,Yes,EPCLUSA - sofosbuvir-velpatasvir tab 200-50 mg,"Prior authorization, Quantity Limits (30 tablets/30 days)"
6,Speciality Drug,my blue,Yes,EPCLUSA - sofosbuvir-velpatasvir tab 400-100 mg,"Prior authorization, Quantity Limits (28 tablets/28 days)"
6,Speciality Drug,my blue,Yes,EPCLUSA - sofosbuvir-velpatasvir pellet pack 150-37.5 mg,"Prior authorization, Quantity Limits (30 packets/30 days)"
6,Speciality Drug,my blue,Yes,EPCLUSA - sofosbuvir-velpatasvir pellet pack 200-50 mg,"Prior authorization, Quantity Limits (60 packets/30 days)"
5,Not Specified,my blue,Yes,EPIVIR - lamivudine oral soln 10 mg/ml,Quantity Limits (960 mls/30 days)
5,Not Specified,my blue,Yes,EPIVIR - lamivudine tab 150 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,EPIVIR - lamivudine tab 300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,"etravirine tab 100 mg, 200 mg (Intelence)",Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,EVOTAZ - atazanavir sulfate-cobicistat tab 300-150 mg (base equiv),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,"famciclovir tab 125 mg, 250 mg, 500 mg",Not Specified
3,Not Specified,my blue,Yes,fosamprenavir calcium tab 700 mg (base equiv) (Lexiva),Quantity Limits (120 tablets/30 days)
6,Speciality Drug,my blue,Yes,FUZEON - enfuvirtide for inj 90 mg,Quantity Limits (60 vials/30 days)
5,Not Specified,my blue,Yes,GENVOYA - elvitegrav-cobic-emtricitab-tenofov af tab 150-150-200-10 mg,Quantity Limits (30 tablets/30 days)
6,Speciality Drug,my blue,Yes,"HARVONI - ledipasvir-sofosbuvir pellet pack 33.75-150 mg, 45-200 mg","Prior authorization, Quantity Limits (30 packets/30 days)"
6,Speciality Drug,my blue,Yes,"HARVONI - ledipasvir-sofosbuvir tab 45-200 mg, 90-400 mg","Prior authorization, Quantity Limits (30 tablets/30 days)"
5,Not Specified,my blue,Yes,INTELENCE - etravirine tab 25 mg,Quantity Limits (120 tablets/30 days)
5,Not Specified,my blue,Yes,"INTELENCE - etravirine tab 100 mg, 200 mg",Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,"ISENTRESS - raltegravir potassium chew tab 25 mg (base equiv), 100 mg (base equiv)",Quantity Limits (180 tablets/30 days)
5,Not Specified,my blue,Yes,ISENTRESS - raltegravir potassium packet for susp 100 mg (base equiv),Quantity Limits (60 packets/30 days)
5,Not Specified,my blue,Yes,ISENTRESS - raltegravir potassium tab 400 mg (base equiv),Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,ISENTRESS HD - raltegravir potassium tab 600 mg (base equiv),Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,JULUCA - dolutegravir sodium-rilpivirine hcl tab 50-25 mg (base eq),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,KALETRA - lopinavir-ritonavir soln 400-100 mg/5ml (80-20 mg/ml),Quantity Limits (480 mls/30 days)
5,Not Specified,my blue,Yes,KALETRA - lopinavir-ritonavir tab 100-25 mg,Quantity Limits (180 tablets/30 days)
5,Not Specified,my blue,Yes,KALETRA - lopinavir-ritonavir tab 200-50 mg,Quantity Limits (120 tablets/30 days)
3,Not Specified,my blue,Yes,lamivudine oral soln 10 mg/ml (Epivir),Quantity Limits (960 mls/30 days)
5,Not Specified,my blue,Yes,lamivudine tab 100 mg (hbv) (Epivir hbv),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,lamivudine tab 150 mg (Epivir),Quantity Limits (60 tablets/30 days)
3,Not Specified,my blue,Yes,lamivudine tab 300 mg (Epivir),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,lamivudine-zidovudine tab 150-300 mg (Combivir),Quantity Limits (60 tablets/30 days)
6,Speciality Drug,my blue,Yes,LEDIPASVIR/SOFOSBUVIR - ledipasvir-sofosbuvir tab 90-400 mg,"Prior authorization, Quantity Limits (30 tablets/30 days)"
6,Speciality Drug,my blue,Yes,LIVTENCITY - maribavir tab 200 mg,"Prior authorization, Limited distribution, Quantity Limits (120 tablets/30 days)"
3,Not Specified,my blue,Yes,lopinavir-ritonavir soln 400-100 mg/5ml (80-20 mg/ ml) (Kaletra),Quantity Limits (480 mls/30 days)
5,Not Specified,my blue,Yes,lopinavir-ritonavir tab 100-25 mg (Kaletra),Quantity Limits (180 tablets/30 days)
5,Not Specified,my blue,Yes,lopinavir-ritonavir tab 200-50 mg (Kaletra),Quantity Limits (120 tablets/30 days)
5,Not Specified,my blue,Yes,maraviroc tab 150 mg (Selzentry),Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,maraviroc tab 300 mg (Selzentry),Quantity Limits (120 tablets/30 days)
6,Speciality Drug,my blue,Yes,MAVYRET - glecaprevir-pibrentasvir tab 100-40 mg,"Prior authorization, Quantity Limits (90 tablets/30 days)"
6,Speciality Drug,my blue,Yes,MAVYRET - glecaprevir-pibrentasvir pellet pack 50-20 mg,"Prior authorization, Quantity Limits (150 packets/30 days)"
5,Not Specified,my blue,Yes,NEVIRAPINE - nevirapine susp 50 mg/5ml,Quantity Limits (1200 mls/30 days)
3,Not Specified,my blue,Yes,nevirapine tab er 24hr 400 mg (Viramune xr),Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,nevirapine tab 200 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,NORVIR - ritonavir tab 100 mg,Quantity Limits (360 tablets/30 days)
5,Not Specified,my blue,Yes,NORVIR - ritonavir powder packet 100 mg,Quantity Limits (360 packets/30 days)
5,Not Specified,my blue,Yes,ODEFSEY - emtricitabine-rilpivirine-tenofovir af tab 200-25-25 mg,Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,oseltamivir phosphate cap 30 mg (base equiv) (Tamiflu),Quantity Limits (40 capsules/120 days)
3,Not Specified,my blue,Yes,"oseltamivir phosphate cap 45 mg (base equiv), 75 mg (base equiv) (Tamiflu)",Quantity Limits (20 capsules/120 days)
5,Not Specified,my blue,Yes,oseltamivir phosphate for susp 6 mg/ml (base equiv) (Tamiflu),Quantity Limits (300 mls/120 days)
5,Not Specified,my blue,Yes,PAXLOVID - nirmatrelvir tab 10 x 150 mg & ritonavir tab 10 x 100 mg pak,Quantity Limits (20 tablets/30 days)
5,Not Specified,my blue,Yes,PAXLOVID - nirmatrelvir tab 20 x 150 mg & ritonavir tab 10 x 100 mg pak,Quantity Limits (30 tablets/30 days)
6,Speciality Drug,my blue,Yes,PEGASYS - peginterferon alfa-2a soln prefilled syr 180 mcg/0.5ml,Prior authorization
6,Speciality Drug,my blue,Yes,PEGASYS - peginterferon alfa-2a inj 180 mcg/ml,Prior authorization
5,Not Specified,my blue,Yes,PIFELTRO - doravirine tab 100 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,"PREVYMIS - letermovir tab 240 mg, 480 mg",Not Specified
5,Not Specified,my blue,Yes,PREZCOBIX - darunavir-cobicistat tab 800-150 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,PREZISTA - darunavir oral susp 100 mg/ml,Quantity Limits (400 mls/30 days)
5,Not Specified,my blue,Yes,PREZISTA - darunavir tab 75 mg,Quantity Limits (300 tablets/30 days)
5,Not Specified,my blue,Yes,PREZISTA - darunavir tab 150 mg,Quantity Limits (180 tablets/30 days)
5,Not Specified,my blue,Yes,PREZISTA - darunavir tab 600 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,PREZISTA - darunavir tab 800 mg,Quantity Limits (30 tablets/30 days)
6,Not Specified,my blue,Yes,RELENZA DISKHALER - zanamivir aerosol powder breath activated 5 mg/act,"Prior authorization, Quantity Limits (40 blisters/120 days)"
5,Not Specified,my blue,Yes,RETROVIR - zidovudine cap 100 mg,Quantity Limits (180 capsules/30 days)
5,Not Specified,my blue,Yes,RETROVIR - zidovudine syrup 10 mg/ml,Quantity Limits (1920 mls/30 days)
5,Not Specified,my blue,Yes,REYATAZ - atazanavir sulfate oral powder packet 50 mg (base equiv),Quantity Limits (240 packets/30 days)
5,Not Specified,my blue,Yes,REYATAZ - atazanavir sulfate cap 200 mg (base equiv),Quantity Limits (60 capsules/30 days)
5,Not Specified,my blue,Yes,REYATAZ - atazanavir sulfate cap 300 mg (base equiv),Quantity Limits (30 capsules/30 days)
5,Not Specified,my blue,Yes,RIBAVIRIN - ribavirin cap 200 mg,Not Specified
5,Not Specified,my blue,Yes,RIBAVIRIN - ribavirin tab 200 mg,Not Specified
6,Not Specified,my blue,Yes,RIMANTADINE HYDROCHLORIDE - rimantadine hydrochloride tab 100 mg,Prior authorization
3,Not Specified,my blue,Yes,ritonavir tab 100 mg (Norvir),Quantity Limits (360 tablets/30 days)
5,Not Specified,my blue,Yes,RUKOBIA - fostemsavir tromethamine tab er 12hr 600 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,SELZENTRY - maraviroc oral soln 20 mg/ml,Quantity Limits (1840 mls/30 days)
5,Not Specified,my blue,Yes,SELZENTRY - maraviroc tab 150 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,SELZENTRY - maraviroc tab 300 mg,Quantity Limits (120 tablets/30 days)
6,Speciality Drug,my blue,Yes,SOFOSBUVIR/VELPATASVIR - sofosbuvir-velpatasvir tab 400-100 mg,"Prior authorization, Quantity Limits (28 tablets/28 days)"
6,Speciality Drug,my blue,Yes,"SOVALDI - sofosbuvir tab 200 mg, 400 mg","Prior authorization, Quantity Limits (30 tablets/30 days)"
6,Speciality Drug,my blue,Yes,"SOVALDI - sofosbuvir pellet pack 150 mg, 200 mg","Prior authorization, Quantity Limits (30 packets/30 days)"
5,Not Specified,my blue,Yes,STRIBILD - elvitegrav-cobic-emtricitab-tenofovdf tab 150-150-200-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,SUNLENCA - lenacapavir sodium tab therapy pack 4 x 300 mg,"Limited distribution, Quantity Limits (4 tablets/365 days)"
5,Not Specified,my blue,Yes,SUNLENCA - lenacapavir sodium tab therapy pack 5 x 300 mg,"Limited distribution, Quantity Limits (5 tablets/365 days)"
5,Not Specified,my blue,Yes,SYMFI - efavirenz-lamivudine-tenofovir df tab 600-300-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,SYMFI LO - efavirenz-lamivudine-tenofovir df tab 400-300-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,SYMTUZA - darunavir-cobic-emtricitab-tenofov af tab 800-150-200-10 mg,Quantity Limits (30 tablets/30 days)
1,Not Specified,my blue,Yes,tenofovir disoproxil fumarate tab 300 mg (Viread),Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,TIVICAY - dolutegravir sodium tab 50 mg (base equiv),Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,TIVICAY PD - dolutegravir sodium tab for oral susp 5 mg (base equiv),Quantity Limits (360 tablets/30 days)
5,Not Specified,my blue,Yes,TRIUMEQ - abacavir-dolutegravir-lamivudine tab 600-50-300 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,TRIUMEQ PD - abacavir-dolutegravir-lamivudine tab for oral sus 60-5-30 mg,Quantity Limits (180 tablets/30 days)
5,Not Specified,my blue,Yes,"TRUVADA - emtricitabine-tenofovir disoproxil fumarate tab 100-150 mg, 133-200 mg, 167-250 mg, 200-300 mg",Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,TYBOST - cobicistat tab 150 mg,Quantity Limits (30 tablets/30 days)
3,Not Specified,my blue,Yes,"valacyclovir hcl tab 500 mg, 1 gm (Valtrex)",Not Specified
5,Not Specified,my blue,Yes,valganciclovir hcl for soln 50 mg/ml (base equiv) (Valcyte),Not Specified
5,Not Specified,my blue,Yes,valganciclovir hcl tab 450 mg (base equivalent) (Valcyte),Not Specified
5,Not Specified,my blue,Yes,VEMLIDY - tenofovir alafenamide fumarate tab 25 mg,Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,VIRACEPT - nelfinavir mesylate tab 250 mg,Quantity Limits (270 tablets/30 days)
5,Not Specified,my blue,Yes,VIRACEPT - nelfinavir mesylate tab 625 mg,Quantity Limits (120 tablets/30 days)
5,Not Specified,my blue,Yes,"VIREAD - tenofovir disoproxil fumarate tab 150 mg, 200 mg, 250 mg, 300 mg",Quantity Limits (30 tablets/30 days)
5,Not Specified,my blue,Yes,VIREAD - tenofovir disoproxil fumarate oral powder 40 mg/gm,Quantity Limits (240 grams/30 days)
6,Speciality Drug,my blue,Yes,VOSEVI - sofosbuvir-velpatasvir-voxilaprevir tab 400-100-100 mg,"Prior authorization, Quantity Limits (30 tablets/30 days)"
5,Not Specified,my blue,Yes,"XOFLUZA - baloxavir marboxil tab therapy pack 1 x 40 mg (40 mg dose), 1 x 80 mg (80 mg dose)",Quantity Limits (2 tablets/120 days)
5,Not Specified,my blue,Yes,ZIAGEN - abacavir sulfate soln 20 mg/ml (base equiv),Quantity Limits (960 mls/30 days)
3,Not Specified,my blue,Yes,zidovudine cap 100 mg (Retrovir),Quantity Limits (180 capsules/30 days)
3,Not Specified,my blue,Yes,zidovudine syrup 10 mg/ml (Retrovir),Quantity Limits (1920 mls/30 days)
3,Not Specified,my blue,Yes,zidovudine tab 300 mg,Quantity Limits (60 tablets/30 days)
5,Not Specified,my blue,Yes,"atovaquone-proguanil hcl tab 62.5-25 mg, 250-100 mg (Malarone)",Not Specified
5,Not Specified,my blue,Yes,"chloroquine phosphate tab 250 mg, 500 mg",Not Specified
6,Not Specified,my blue,Yes,COARTEM - artemether-lumefantrine tab 20-120 mg,Prior authorization
5,Not Specified,my blue,Yes,"hydroxychloroquine sulfate tab 100 mg, 300 mg, 400 mg",Not Specified
3,Not Specified,my blue,Yes,hydroxychloroquine sulfate tab 200 mg (Plaquenil),Not Specified
